timestamp,l_shoulder_pitch,l_shoulder_roll,l_arm_yaw,l_elbow_pitch,l_wrist_pitch,r_shoulder_pitch,r_shoulder_roll,r_arm_yaw,r_elbow_pitch,r_wrist_pitch
1772016139.4212854,-7.187967338071786,12.817414653335756,23.427097101754242,-27.320731866450803,42.0,-58.54635049397295,-47.64894533380871,87.0,-51.949016451294945,42.0
1772016139.4841144,-6.938113422613481,12.993225784356023,23.822689071786456,-27.754818771862748,42.0,-58.996370935746164,-48.38382878238713,87.0,-50.33615137369203,42.0
1772016139.5495627,-6.761523082809971,13.132698152323425,24.794252383401343,-28.068463253991823,42.0,-59.280737864489055,-49.57107319537397,87.0,-49.21148225031509,42.0
1772016139.6095748,-6.591936970888005,13.282768747545981,25.901884398417863,-28.144949930701316,42.0,-59.49032833541921,-50.731542718110624,87.0,-48.63289259762463,42.0
1772016139.67383,-6.508056479924751,13.370452997364339,26.726619587031763,-27.937654005987625,42.0,-59.68319134693818,-51.54521540812132,87.0,-48.04148951255347,42.0
1772016139.739695,-6.6124734579508795,13.304257006828855,27.1610852906785,-27.5974025419227,42.0,-59.8164690431172,-52.13141293479834,87.0,-46.891509771240095,42.0
1772016139.7998838,-6.848344252386767,13.129658209439405,27.380873847605415,-27.446560054711483,42.0,-59.9177068731748,-52.71486750799832,87.0,-45.19096790605533,42.0
1772016139.8595243,-6.983341793142438,13.042046340643221,27.5811196971746,-27.705816401289596,42.0,-60.231568583904114,-53.1910153557375,87.0,-43.374991008424445,42.0
1772016139.9213853,-6.769198421331866,13.257168666746539,27.75558014489755,-28.273542097207862,42.0,-61.062460112267395,-53.20854755859479,87.0,-41.74937574952187,42.0
1772016139.9838898,-6.185187208415941,13.817848451925402,27.759940912441962,-28.79634550291547,42.0,-62.461934644644934,-52.63512319599955,87.0,-40.23661329747668,42.0
1772016140.0455458,-5.642857180060816,14.415414457811671,27.629414319048593,-28.94119731726346,42.0,-64.1469191319452,-51.792822619566294,87.0,-38.666594171792546,42.0
1772016140.1072834,-5.88745533501334,14.43208454733963,27.773660045959886,-28.64296845100876,42.0,-65.73222675599298,-51.22726778284133,87.0,-37.11728749411052,42.0
1772016140.1682498,-7.418946140802929,13.386313729703382,28.681264882411256,-28.127614296487643,42.0,-66.9616813527418,-51.33052194393904,87.0,-35.92180577157947,42.0
1772016140.2365265,-9.875558504365703,11.468142400963208,30.354158986129235,-27.670089011939883,42.0,-67.721647456682,-52.144554776327034,87.0,-35.429147905661544,42.0
1772016140.2937913,-12.204678182206743,9.479493692334634,32.19080719054875,-27.351208868793723,42.0,-68.00121532311215,-53.364706916200866,87.0,-35.652855164264984,42.0
1772016140.3550577,-13.615072610718215,8.106175589525062,33.56370563648554,-27.112374923969856,42.0,-67.9484837209281,-54.493089257841845,87.0,-36.05465494121093,42.0
1772016140.4218829,-14.186256571597475,7.387967121006859,34.40034564766495,-26.966802333410342,42.0,-67.85337176939828,-55.15531683141838,87.0,-35.90666770715251,42.0
1772016140.4801836,-14.464233152448278,6.970978752045316,35.07384510211264,-26.981208156454617,42.0,-67.93651782690719,-55.39792831347776,87.0,-35.06056187202256,42.0
1772016140.5429192,-14.80208991846518,6.5870662809377105,35.85623328495409,-27.0634592873857,42.0,-68.18393563984523,-55.60537699362534,87.0,-34.14329318866898,42.0
1772016140.6042073,-15.29201832711571,6.10323009849441,36.683153327882096,-26.992800600562735,42.0,-68.44953593956053,-56.054133186612724,87.0,-33.79731353581754,42.0
1772016140.6700077,-15.973428925369435,5.41032719394695,37.41046510971853,-26.758485974800312,42.0,-68.64298387666955,-56.646263103502484,87.0,-33.97636253051189,42.0
1772016140.7282395,-16.7441152275427,4.583990630763271,38.033982104413724,-26.62202372948379,42.0,-68.72380375075744,-57.15117706552064,87.0,-34.27329452968041,42.0
1772016140.7929683,-17.23298692605359,4.017750410706886,38.50501143043334,-26.560499275227915,42.0,-68.58432328951989,-57.56904416639985,87.0,-34.722302932872104,42.0
1772016140.85438,-17.06703328219026,4.141294997103692,38.52587838975285,-25.876160544938386,42.0,-68.09810494808302,-58.091221288477875,87.0,-35.83438291308107,42.0
1772016140.9199572,-16.24150836139089,5.039800748328029,37.8430335259973,-23.94755962614486,42.0,-67.32240935642163,-58.74995844884997,87.0,-37.78708829651354,42.0
1772016140.9814112,-15.091318784176254,6.446906204517157,36.7304902403105,-21.41221820969411,42.0,-66.54334615721919,-59.29091397051966,87.0,-39.90590477570229,42.0
1772016141.042634,-13.96368419527437,8.000767835776392,35.87323790837962,-19.947880076388262,42.0,-66.02284751988822,-59.46758432907696,87.0,-41.18169184077622,42.0
1772016141.106391,-13.021825640859484,9.409740735907159,35.669963559681264,-20.555217781014804,42.0,-65.7300908908408,-59.354918550408144,87.0,-41.2338756881864,42.0
1772016141.165617,-12.287476064815133,10.49505539830306,35.864109499490496,-22.451993341464316,42.0,-65.39669536813794,-59.26132267163943,87.0,-40.61968221010076,42.0
1772016141.2293253,-11.731566245288784,11.229938982338298,35.94105872574531,-23.92753881844589,42.0,-64.80959844529336,-59.38516014120253,87.0,-40.24989347663122,42.0
1772016141.2924275,-11.29598914448967,11.743559750548872,35.701007743604194,-24.035778268897353,42.0,-63.969688121646705,-59.66676831406997,87.0,-40.647049281475205,42.0
1772016141.3604746,-10.89568727060243,12.222904805629263,35.35254693185844,-23.26098060230288,42.0,-62.99425189203304,-59.94159017465273,87.0,-41.68680146017343,42.0
1772016141.4185715,-10.479756699245216,12.757892812072486,35.189087513505655,-22.724117811986442,42.0,-61.98491652908049,-60.11216338095814,87.0,-42.78940917414105,42.0
1772016141.4827857,-10.117618947635375,13.2502517710189,35.305023575609695,-23.049203444234575,42.0,-61.029474160439435,-60.14084369561171,87.0,-43.30274584581758,42.0
1772016141.5432587,-9.962997298062298,13.503039660471863,35.580845320108466,-24.069694703082835,42.0,-60.24355033326918,-59.95592843387829,87.0,-42.941447245153476,42.0
1772016141.6079729,-10.0627748252966,13.456059004298309,35.82917863070662,-25.36100013465212,42.0,-59.71483431047693,-59.45798184429233,87.0,-42.022352340023154,42.0
1772016141.6715293,-10.23737899484296,13.31084849764233,35.943447793713375,-26.72615290905983,42.0,-59.40313058831317,-58.66515469250251,87.0,-41.16985134167181,42.0
1772016141.7362218,-10.227812174234966,13.356473746764536,35.96604486527717,-28.13763368666109,42.0,-59.14311199042811,-57.8180737901597,87.0,-40.73562443129896,42.0
1772016141.801643,-9.951405534993022,13.67932977540401,36.01431474415412,-29.457959924771252,42.0,-58.77002664760335,-57.239788765870685,87.0,-40.63486877218514,42.0
1772016141.8614419,-9.573462222527038,14.086837182697005,36.13093256656077,-30.442527373214737,42.0,-58.26665212436152,-57.0285697532877,87.0,-40.65753510390492,42.0
1772016141.9229198,-9.355663943010564,14.293597377711698,36.25510089397781,-31.011748262748252,42.0,-57.81295266594261,-56.93212838398534,87.0,-40.63262822955659,42.0
1772016141.983883,-9.451594200413853,14.153263340214599,36.331606367358404,-31.34785497815741,42.0,-57.63712959796162,-56.603210056089075,87.0,-40.377796974695954,42.0
1772016142.0441604,-9.792721071610497,13.756085754665822,36.37027867271502,-31.653401226722583,42.0,-57.74394628704391,-55.98298542233393,87.0,-39.85978045093295,42.0
